ProblemNo,Connection,Cost
0,57652 : 9 -> 12 ; 17231 : 9 -> 16 ; 17205 : 26 -> 28,12
1,17205 : 28 -> 33 ; 17231 : 7 -> 9 ; 57652 : 12 -> 15,10
2,22816 : 6 -> 15 ; 17208 : 6 -> 8 ; 17002 : 1 -> 6,16
3,57652 : 14 -> 20 ; 17231 : 10 -> 24 ; 17002 : 17 -> 18 ; 17231 : 25 -> 26 ; 17002 : 21 -> 23 ; 01153 : 3 -> 6,27
4,17001 : 20 -> 22 ; 12219 : 5 -> 6 ; 17205 : 26 -> 28 ; 22816 : 15 -> 18,8
5,22816 : 13 -> 14 ; 17231 : 7 -> 15 ; 57652 : 30 -> 33,12
6,17231 : 5 -> 8,3
7,57652 : 9 -> 12 ; 17231 : 9 -> 23,17
8,17001 : 21 -> 22 ; 12219 : 5 -> 6 ; 17205 : 26 -> 33 ; 17231 : 7 -> 9 ; 57652 : 12 -> 14,13
9,22816 : 5 -> 15 ; 17208 : 6 -> 8 ; 17002 : 1 -> 9,20
10,11271 : 31 -> 32 ; 12549 : 10 -> 11 ; 22680 : 3 -> 4 ; 12652 : 4 -> 5 ; 02509 : 4 -> 5 ; 12246 : 4 -> 5 ; 06336 : 37 -> 38 ; 18410 : 11 -> 12 ; 12892 : 9 -> 14,13
11,12197 : 9 -> 10 ; 11101 : 22 -> 23 ; 08892 : 11 -> 12 ; 22680 : 3 -> 4 ; 12652 : 4 -> 5 ; 12551 : 6 -> 7 ; 57272 : 40 -> 41,7
12,57272 : 3 -> 5 ; 12835 : 10 -> 11 ; 02510 : 14 -> 17 ; 12269 : 1 -> 2 ; 12103 : 8 -> 9 ; 16864 : 27 -> 28,9
13,54805 : 71 -> 72 ; 12216 : 12 -> 13 ; 12957 : 7 -> 8 ; 09627 : 12 -> 13 ; 22451 : 20 -> 21 ; 12425 : 2 -> 3 ; 12459 : 10 -> 11 ; 13307 : 70 -> 72,9
14,54805 : 68 -> 72 ; 12216 : 12 -> 13 ; 12308 : 6 -> 7 ; 12911 : 9 -> 10 ; 12270 : 1 -> 2,8
15,57129 : 6 -> 7 ; 17320 : 13 -> 14 ; 14805 : 9 -> 10 ; 12219 : 3 -> 4 ; 22881 : 4 -> 5 ; 12649 : 5 -> 6 ; 12641 : 21 -> 22 ; 11046 : 18 -> 19 ; 14010 : 18 -> 22 ; 58832 : 1 -> 3,14
16,12816 : 16 -> 17 ; 15021 : 5 -> 6 ; 12820 : 7 -> 8 ; 12819 : 9 -> 10 ; 12259 : 3 -> 4 ; 12018 : 8 -> 9 ; 12952 : 1 -> 2 ; 12218 : 5 -> 6 ; 12298 : 4 -> 5 ; 19576 : 11 -> 12 ; 15636 : 38 -> 39 ; 11088 : 21 -> 22 ; 12950 : 34 -> 36,14
17,52076 : 11 -> 16 ; 19269 : 11 -> 12 ; 12216 : 12 -> 13 ; 12308 : 6 -> 7 ; 12035 : 3 -> 4 ; 12316 : 11 -> 12 ; 22812 : 2 -> 3 ; 12306 : 6 -> 7 ; 12519 : 17 -> 18 ; 12436 : 11 -> 12 ; 22412 : 10 -> 11 ; 02509 : 15 -> 16 ; 12507 : 50 -> 51 ; 14056 : 40 -> 41 ; 15960 : 22 -> 23,19
18,12398 : 3 -> 4 ; 22812 : 2 -> 3 ; 12502 : 6 -> 8 ; 15049 : 11 -> 12,5
19,58502 : 45 -> 47 ; 17016 : 26 -> 27 ; 02510 : 14 -> 17 ; 12269 : 1 -> 2 ; 12103 : 8 -> 9 ; 22910 : 17 -> 18 ; 11472 : 17 -> 18 ; 11125 : 3 -> 4,11
20,01153 : 1 -> 3 ; 17001 : 4 -> 26 ; 17205 : 26 -> 33 ; 17231 : 7 -> 9 ; 57652 : 12 -> 16,77580
21,17208 : 2 -> 8 ; 17231 : 16 -> 24 ; 17002 : 17 -> 23 ; 01153 : 3 -> 11,75900
22,17205 : 39 -> 40,1680
23,22816 : 5 -> 15 ; 17208 : 6 -> 8 ; 17231 : 16 -> 24 ; 17002 : 17 -> 20,107340
24,17002 : 10 -> 13 ; 17231 : 23 -> 24 ; 17002 : 17 -> 22,27420
25,22816 : 11 -> 14 ; 17205 : 33 -> 39,41940
26,17208 : 3 -> 8 ; 17002 : 1 -> 11,42240
27,17001 : 5 -> 26 ; 17231 : 16 -> 22,69900
28,17205 : 34 -> 39,8100
29,22816 : 3 -> 14 ; 17231 : 7 -> 14,73020
30,11272 : 38 -> 39 ; 01656 : 4 -> 8 ; 01082 : 1 -> 4 ; 01153 : 5 -> 9 ; 01082 : 6 -> 7 ; 10103 : 3 -> 5 ; 12051 : 4 -> 6 ; 50104 : 1 -> 2,58560
31,13201 : 19 -> 20 ; 14209 : 3 -> 4 ; 11105 : 16 -> 17 ; 12179 : 3 -> 4 ; 12349 : 13 -> 14 ; 12056 : 9 -> 10 ; 12002 : 1 -> 2 ; 12248 : 2 -> 3 ; 12264 : 2 -> 3 ; 11049 : 9 -> 10 ; 16333 : 21 -> 22 ; 50103 : 9 -> 17,71460
32,54077 : 9 -> 10 ; 14555 : 7 -> 8 ; 13049 : 88 -> 90 ; 12235 : 24 -> 25 ; 12501 : 17 -> 18 ; 12056 : 9 -> 10 ; 12015 : 1 -> 2 ; 09628 : 2 -> 4 ; 04736 : 8 -> 14 ; 12457 : 10 -> 12 ; 12371 : 26 -> 27 ; 04736 : 17 -> 18 ; 12456 : 1 -> 2 ; 54702 : 1 -> 3 ; 11013 : 25 -> 26 ; 12079 : 1 -> 2 ; 12193 : 1 -> 2 ; 12213 : 2 -> 5 ; 11014 : 16 -> 17 ; 07712 : 3 -> 4 ; 12193 : 6 -> 8 ; 12769 : 13 -> 14 ; 17024 : 4 -> 5 ; 57306 : 41 -> 42,62100
33,52458 : 19 -> 20 ; 12312 : 1 -> 3 ; 12057 : 8 -> 9 ; 12241 : 2 -> 3 ; 13307 : 67 -> 68 ; 13049 : 103 -> 104 ; 14036 : 6 -> 7 ; 11058 : 12 -> 13 ; 12455 : 6 -> 7 ; 12485 : 20 -> 23 ; 19224 : 30 -> 33 ; 19108 : 10 -> 12 ; 12455 : 18 -> 19 ; 24887 : 27 -> 28 ; 54703 : 28 -> 29 ; 54701 : 30 -> 32 ; 54702 : 2 -> 3 ; 11013 : 25 -> 26 ; 12079 : 1 -> 2 ; 11005 : 27 -> 28 ; 12539 : 2 -> 3 ; 12543 : 4 -> 5 ; 08302 : 4 -> 5 ; 12625 : 24 -> 25 ; 02874 : 1 -> 2 ; 07717 : 2 -> 3 ; 12733 : 3 -> 5 ; 12539 : 8 -> 9 ; 12776 : 4 -> 5 ; 57230 : 31 -> 32 ; 17250 : 14 -> 17 ; 07713 : 15 -> 16,78240
34,14662 : 6 -> 7 ; 54802 : 15 -> 16 ; 08244 : 1 -> 2 ; 22931 : 22 -> 23 ; 14810 : 4 -> 6 ; 22479 : 5 -> 7 ; 54702 : 1 -> 3 ; 11013 : 25 -> 26 ; 12079 : 1 -> 2 ; 11005 : 27 -> 28 ; 12539 : 2 -> 3 ; 12543 : 4 -> 5 ; 12610 : 12 -> 13,30840
35,59385 : 14 -> 15 ; 11015 : 23 -> 24 ; 08243 : 11 -> 12 ; 12720 : 15 -> 16 ; 12962 : 3 -> 4 ; 59320 : 29 -> 32 ; 11464 : 23 -> 24 ; 19020 : 57 -> 60 ; 11102 : 10 -> 11 ; 12910 : 5 -> 6 ; 11050 : 15 -> 16 ; 19261 : 23 -> 24 ; 59439 : 69 -> 71 ; 11088 : 16 -> 18 ; 19017 : 20 -> 22 ; 59208 : 41 -> 43 ; 12971 : 12 -> 14 ; 59208 : 47 -> 48,46320
